type,iron
DUCK,3.85
DUCK,2.4
DUCK,2.7
DUCK,2.4
DUCK,2.7
DUCK,30.53
DUCK,4.16
DUCK,4.51
DUCK,3.26
DUCK,4.49
DUCK,2.08
DUCK,2.33
DUCK,
GOAT,1.88
GOAT,1.62
GOAT,1.9
GOAT,2.83
GOAT,3.73
GOOSE,3.64
GOOSE,5.91
GOOSE,2.5
GOOSE,2.83
GOOSE,2.57
GOOSE,2.87
GOOSE,30.53
GOOSE,5.5
GOOSE,5.5
LAMB,1.57
LAMB,1.88
LAMB,1.77
LAMB,2.05
LAMB,0.98
LAMB,1.29
LAMB,1.67
LAMB,2.14
LAMB,1.79
LAMB,2.27
LAMB,1.66
LAMB,1.98
LAMB,1.82
LAMB,2.12
LAMB,1.71
LAMB,1.98
LAMB,1.82
LAMB,2.06
LAMB,1.61
LAMB,2
LAMB,1.83
LAMB,2.2
LAMB,1.61
LAMB,1.81
LAMB,2.12
LAMB,1.91
LAMB,2
LAMB,2.44
LAMB,1.39
LAMB,1.88
LAMB,1.6
LAMB,1.67
LAMB,2.21
LAMB,1.77
LAMB,1.5
LAMB,2.4
LAMB,2.03
LAMB,1.97
LAMB,1.66
LAMB,2.67
LAMB,2.19
LAMB,2.13
LAMB,1.56
LAMB,2.39
LAMB,2.09
LAMB,2.03
LAMB,1.74
LAMB,2.7
LAMB,2.31
LAMB,2.23
LAMB,1.48
LAMB,2.35
LAMB,1.72
LAMB,1.92
LAMB,1.62
LAMB,2.6
LAMB,1.81
LAMB,2.07
LAMB,1.77
LAMB,2.8
LAMB,2.34
LAMB,1.49
LAMB,2.1
LAMB,1.64
LAMB,2.35
LAMB,1.14
LAMB,1.39
LAMB,1.28
LAMB,2.11
LAMB,1.37
LAMB,2.24
LAMB,1.49
LAMB,2.1
LAMB,1.64
LAMB,2.24
LAMB,1.24
LAMB,2.05
LAMB,1.52
LAMB,2.34
LAMB,1.3
LAMB,1.57
LAMB,1.43
LAMB,1.65
LAMB,1.01
LAMB,2.11
LAMB,1.12
LAMB,2.34
LAMB,1.75
LAMB,1.68
LAMB,2.04
LAMB,4.6
LAMB,5.52
LAMB,6.38
LAMB,12.4
LAMB,7.37
LAMB,8.28
LAMB,10.2
LAMB,6.4
LAMB,4.57
LAMB,5.9
LAMB,2.3
LAMB,2.12
LAMB,41.89
LAMB,38.67
LAMB,2.65
LAMB,2.63
LAMB,1.55
LAMB,1.79
LAMB,1.62
LAMB,1.93
LAMB,1.67
LAMB,2.14
LAMB,1.7
LAMB,2.02
LAMB,1.73
LAMB,1.99
LAMB,1.63
LAMB,2.01
LAMB,1.66
LAMB,1.84
LAMB,2.17
LAMB,1.43
LAMB,1.93
LAMB,1.62
LAMB,1.53
LAMB,2.39
LAMB,1.83
LAMB,1.97
LAMB,1.58
LAMB,2.43
LAMB,2.12
LAMB,2.05
LAMB,1.5
LAMB,2.38
LAMB,1.73
LAMB,1.95
LAMB,1.54
LAMB,2.08
LAMB,1.49
LAMB,2.07
LAMB,1.6
LAMB,2.13
LAMB,1.59
LAMB,2.1
LAMB,1.43
LAMB,1.74
LAMB,1.36
LAMB,2.16
LAMB,1.43
LAMB,1.93
LAMB,1.59
LAMB,2.05
LAMB,0.63
LAMB,1.11
LAMB,1.38
LAMB,1.79
LAMB,1.5
LAMB,1.91
LAMB,1.48
LAMB,2.03
LAMB,1.64
LAMB,2.15
LAMB,1.48
LAMB,2.01
LAMB,1.61
LAMB,2.13
LAMB,1.5
LAMB,2.06
LAMB,1.75
LAMB,2.24
LAMB,1.75
LAMB,2.34
LAMB,1.94
LAMB,2.48
LAMB,1.81
LAMB,2.38
LAMB,1.94
LAMB,2.48
LAMB,1.66
LAMB,2.12
LAMB,1.79
LAMB,2.18
LAMB,1.55
LAMB,2.24
LAMB,1.75
LAMB,2.36
LAMB,1.26
LAMB,1.78
LAMB,1.42
LAMB,1.9
LAMB,1.35
LAMB,2.42
LAMB,1.54
LAMB,2.71
LAMB,1.21
LAMB,1.58
LAMB,1.36
LAMB,1.67
LAMB,1.41
LAMB,1.39
LAMB,0.72
LAMB,0.47
LAMB,1.21
LAMB,1.07
LAMB,1.89
LAMB,1.15
LAMB,1.73
LAMB,0.7
LAMB,1.52
LAMB,14.7
LAMB,1.21
LAMB,0.96
LAMB,6.6
LAMB,5.4
LAMB,4.6
LAMB,1.27
LAMB,1.04
LAMB,4.94
LAMB,3.29
LAMB,1.06
LAMB,0.54
LAMB,1.69
LAMB,1.14
LAMB,1.74
LAMB,1.25
LAMB,1.71
LAMB,1.4
LAMB,1.89
LAMB,1.18
LAMB,2.12
LAMB,1.63
LAMB,1.6
LAMB,1.54
LAMB,2.05
LAMB,1.55
LAMB,2.12
LAMB,1.46
LAMB,1.24
LAMB,2.28
LAMB,1.38
LAMB,1.16
LAMB,1.76
LAMB,1.4
LAMB,1.88
LAMB,1.47
LAMB,2.03
LAMB,1.11
LAMB,0.84
LAMB,1.99
LAMB,1.34
LAMB,1.93
LAMB,1.62
LAMB,1.44
LAMB,1.29
LAMB,2.05
LAMB,1.55
LAMB,2.14
LAMB,1.14
LAMB,1.33
LAMB,1.05
LAMB,1.74
LAMB,1.06
LAMB,1.41
